QMT725 ,PENGURUSAN OPERASI ,0,0,3
QMT732 ,ECONOMETRIK ,0,0,3
QMT745 ,KAEDAH PENYELIDIKAN ,0,0,3
QMT752 ,ANALISIS DAN PENGURUSAN KUALITI ,0,0,3
QMT759 ,ANALISIS INPUT-OUTPUT ,0,0,3
QMT760 ,PERAMALAN ,0,0,3
QMT761 ,PERLOMBONGAN DATA ,0,0,3
QMT799 ,DISERTASI ,0,0,1
SPS105 ,KEPENTINGAN IT DALAM SUKAN ,0,0,3
STA104 ,PENGENALAN KEPADA STATISTIK ,0,0,2
STA400 ,STATISTIK DAN KEBARANGKALIAN ,0,0,2
STA404 ,STATISTIK PERNIAGAAN DAN SAINS SOSIAL ,0,2,2
STA408 ,STATISTIK SAINS DAN KEJURUTERAAN ,0,1,2
STA416 ,KEBARANGKALIAN DAN STATISTIK GUNAAN ,0,2,2
STA450 ,ASAS ANALISIS REGRESI ,1,2,2
STA470 ,KAEDAH BERSTATISTIK ,1,0,2
STA500 ,STATISTIK NONPARAMETRIK ,1,0,1
STA550 ,KAEDAH PENSAMPELAN ,0,0,2
STA555 ,ASAS PERLOMBONGAN DATA ,3,0,2
STA560 ,STATISTIK INFERENSI ,0,0,2
STA570 ,ANALISIS SIRI MASA DAN RAMALAN ,1,0,2
STA588 ,MODEL PEMASARAN ,1,0,2
STA600 ,INTERMEDIAT ANALISIS REGRESI ,1,0,2
STA610 ,PENGATURCARAAN SAS ,2,0,2
STA640 ,UJIKAJI REKABENTUK DAN ANALISIS VARIAN ,1,0,2
STA650 ,KAEDAH PENYELIDIKAN ,0,1,2
STA680 ,ANALISIS APLIKASI MULTIVARIAT ,1,1,4
STA703 ,TEORI STATISTIK ,0,0,3
STA704 ,TEORI PENSAMPELAN DAN PRAKTIK ,0,0,3
STA705 ,PENGKOMPUTERAN BERSTATISTIK ,0,0,3
STA739 ,PEMODELAN BERSTATISTIK ,0,0,3
STA750 ,PERUNDINGAN BERSTATISTIK ,0,0,3
STA754 ,FALSAFAH SAINS STATISTIK ,0,0,3
STA765 ,REKABENTUK DAN ANALISIS BIOUJIKAJI ,0,0,3
STA768 ,PEMODELAN DAN PELUNJURAN SIRI MASA LANJUTAN ,0,0,3
STA780 ,ANALISIS MULTIVARIAT LANJUTAN ,0,0,3
STA783 ,SEMINAR ISU STATISTIK SEMASA ,0,0,3
STA799 ,DISERTASI STATISTIK GUNAAN ,0,0,1
SYS750 ,PENGURUSAN PROJEK TEKNOLOGI MAKLUMAT LANJUTAN ,0,0,3
SYS751 ,SISTEM SOKONGAN PEMUTUSAN LANJUTAN ,0,0,2
SYS796 ,DISERTASI ,0,0,1
SYS798 ,PROJEK TEKNOLOGI MAKLUMAT ,0,0,3
